Al2O3,CaO,Fe2O3,MgO,SO3,SiO2,F.CaO,LSF,SM,A/F,C3S,C2S,C3A,C4AF,2C3A+C4AF,LIQUID %,LT.WT Gm/Ltr,K2O,Na2O,TiO2
4.99,65.15,3.96,1.56,0.33,22.35,1.86,91.58,2.5,1.26,48.56,27.48,6.52,12.05,25.1,26.32,1240,0.33,0.29,0.32
,,,,,,,,,,,,,,,,,,,
5.17,65.08,4.02,1.58,0.3,22.94,1.2,89.09,2.5,1.29,45.18,31.72,6.9,12.23,26.03,26.98,1330,0.23,0.28,0.32
,,,,,,,,,,,,,,,,,,,
5.28,64.46,4.04,1.55,0.22,22.84,1.48,88.41,2.45,1.31,41.51,34.2,7.16,12.29,26.61,27.23,1350,0.28,0.29,0.33
5.2,64.64,4.06,1.55,0.39,22.83,1.31,88.79,2.47,1.28,43.52,32.66,6.91,12.35,26.18,27.21,1380,0.35,0.32,0.32
,,,,,,,,,,,,,,,,,,,
4.95,65.06,3.97,1.55,0.41,22.28,1.51,91.76,2.5,1.25,50.41,25.89,6.4,12.08,24.88,26.3,1300,0.33,0.3,0.32
,,,,,,,,,,,,,,,,,,,
4.99,65.44,4.04,1.55,0.31,22,2.13,93.2,2.44,1.24,51.19,24.5,6.39,12.29,25.07,26.47,1290,0.27,0.29,0.32
,,,,,,,,,,,,,,,,,,,
5.11,65.61,4.08,1.59,0.2,21.9,1.96,93.59,2.38,1.25,52.47,23.25,6.64,12.42,25.69,26.84,1290,0.26,0.27,0.33
,,,,,,,,,,,,,,,,,,,
5.09,65.19,4.13,1.57,0.36,21.89,1.88,93.02,2.37,1.23,51.23,24.16,6.5,12.57,25.57,27.03,1280,0.31,0.31,0.33
,,,,,,,,,,,,,,,,,,,
5.39,65.28,4.15,1.6,0.38,21.65,1.99,93.54,2.27,1.3,50.93,23.69,7.26,12.63,27.15,28.01,1280,0.39,0.32,0.33
,,,,,,,,,,,,,,,,,,,
5.19,66.19,4.06,1.57,0.16,21.09,2.72,97.45,2.28,1.28,57.39,17.22,6.88,12.35,26.12,26.97,1300,0.27,0.27,0.32
,,,,,,,,,,,,,,,,,,,
5.16,66.11,4.07,1.55,0.46,21.17,2.24,97.06,2.29,1.27,58.6,16.53,6.79,12.39,25.96,27.19,1320,0.33,0.3,0.32
,,,,,,,,,,,,,,,,,,,
5.18,65.47,4.06,1.58,0.24,21.41,3.08,95.16,2.32,1.28,50.63,23.23,6.86,12.35,26.07,27.03,1260,0.32,0.29,0.32
,,,,,,,,,,,,,,,,,,,
5.12,65.12,4.08,1.57,0.33,21.97,2.04,92.62,2.39,1.25,49.55,25.65,6.66,12.42,25.74,26.98,1280,0.33,0.3,0.33
,,,,,,,,,,,,,,,,,,,
5.06,65.78,4.06,1.55,0.26,21.86,2.86,94.08,2.4,1.25,50.17,24.87,6.54,12.35,25.43,26.67,1260,0.26,0.25,0.33
,,,,,,,,,,,,,,,,,,,
5,65.23,3.9,1.54,0.39,22.08,1.84,92.71,2.48,1.28,51.04,24.84,6.65,11.87,25.17,26.26,1240,0.3,0.3,0.33
4.98,64.57,3.83,1.5,0.54,22.55,1.4,90.17,2.56,1.3,46.81,29.38,6.72,11.65,25.09,26.16,1280,0.31,0.28,0.33
,,,,,,,,,,,,,,,,,,,
5.12,64.97,3.81,1.51,0.23,23,1.46,88.98,2.58,1.34,43.86,32.89,7.12,11.59,25.84,26.23,1300,0.34,0.28,0.33
,,,,,,,,,,,,,,,,,,,
4.97,64.8,3.69,1.48,0.35,22.74,1.48,89.96,2.63,1.35,46.24,30.35,6.93,11.23,25.08,25.61,1260,0.36,0.29,0.33
,,,,,,,,,,,,,,,,,,,
4.99,65.23,3.83,1.52,0.34,22.46,1.68,91.4,2.55,1.3,48.97,27.49,6.74,11.65,25.14,26.01,1260,0.33,0.29,0.32
,,,,,,,,,,,,,,,,,,,
4.9,65.42,3.77,1.47,0.4,22.22,1.84,92.73,2.56,1.3,51.61,24.81,6.61,11.47,24.68,25.62,1290,0.37,0.29,0.32
,,,,,,,,,,,,,,,,,,,
4.92,65.56,3.75,1.45,0.23,22.35,1.79,92.44,2.58,1.31,51.29,25.43,6.69,11.41,24.8,25.44,1320,0.34,0.29,0.33
,,,,,,,,,,,,,,,,,,,
5.06,66.29,3.8,1.47,0.35,21.67,2.66,95.77,2.45,1.33,54.88,20.77,6.98,11.56,25.52,26.11,1290,0.33,0.28,0.32
,,,,,,,,,,,,,,,,,,,
5.16,66.62,3.84,1.49,0.23,22.1,2.24,94.41,2.46,1.34,53.93,22.72,7.18,11.69,26.04,26.39,1300,0.31,0.28,0.33
,,,,,,,,,,,,,,,,,,,
4.97,65.15,3.73,1.45,0.34,22.65,1.68,90.73,2.6,1.33,47.48,29.16,6.86,11.35,25.07,25.66,1280,0.29,0.26,0.33
,,,,,,,,,,,,,,,,,,,
4.86,65.65,3.7,1.44,0.32,22.06,1.96,93.78,2.58,1.31,53.64,22.82,6.62,11.26,24.5,25.24,1300,0.34,0.26,0.32
,,,,,,,,,,,,,,,,,,,
4.91,66.02,3.68,1.46,0.21,22.14,2.99,93.94,2.58,1.33,50.04,25.77,6.78,11.2,24.77,25.25,1200,0.33,0.26,0.32
,,,,,,,,,,,,,,,,,,,
4.98,65.27,3.76,1.46,0.24,22.25,2.68,92.29,2.55,1.32,46.83,28.51,6.84,11.44,25.11,25.66,1220,0.33,0.27,0.33
4.78,66.27,3.77,1.46,0.19,22.05,2.79,94.77,2.58,1.27,53.3,23.05,6.29,11.47,24.05,25.05,1260,0.3,0.25,0.32
,,,,,,,,,,,,,,,,,,,
4.87,65.39,4.01,1.44,0.26,22.19,2.24,92.64,2.5,1.21,49.94,25.98,6.12,12.2,24.44,25.89,1290,0.32,0.26,0.33
,,,,,,,,,,,,,,,,,,,
4.96,65.82,4.05,1.47,0.42,22.31,2.52,92.64,2.48,1.22,48.98,27.05,6.29,12.32,24.91,26.43,1220,0.34,0.29,0.33
,,,,,,,,,,,,,,,,,,,
4.94,65.53,4.04,1.43,0.3,22.44,1.74,91.8,2.5,1.22,50.14,26.56,6.26,12.29,24.8,26.19,1250,0.32,0.27,0.33
,,,,,,,,,,,,,,,,,,,
4.82,65.51,4.01,1.43,0.4,22.28,1.68,92.56,2.52,1.2,52.36,24.42,5.99,12.2,24.18,25.87,1270,0.28,0.29,0.33
,,,,,,,,,,,,,,,,,,,
4.89,65.89,4.04,1.44,0.4,22.31,1.82,92.85,2.5,1.21,52.6,24.32,6.12,12.29,24.54,26.15,1240,0.34,0.3,0.33
,,,,,,,,,,,,,,,,,,,
4.9,65.48,4.11,1.43,0.32,22.31,1.76,92.2,2.48,1.19,51.01,25.53,6.03,12.51,24.57,26.25,1150,0.32,0.29,0.33
,,,,,,,,,,,,,,,,,,,
5.09,65.22,4.15,1.44,0.15,22.48,1.51,90.9,2.43,1.23,48.34,28.02,6.47,12.63,25.56,26.74,1290,0.34,0.27,0.33
,,,,,,,,,,,,,,,,,,,
5.02,65.54,4.11,1.42,0.52,22.06,1.87,93.01,2.42,1.22,51.9,24.14,6.35,12.51,25.2,26.79,1290,0.27,0.28,0.33
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
5.06,65.41,4.09,1.42,0.33,21.79,2.24,93.79,2.38,1.24,51.68,23.53,6.49,12.45,25.42,26.68,1300,0.37,0.28,0.33
,,,,,,,,,,,,,,,,,,,
4.99,65.39,4.12,1.43,0.25,21.59,2.68,94.61,2.37,1.21,51.75,22.9,6.25,12.54,25.04,26.46,1220,0.38,0.28,0.33
4.87,65.41,3.99,1.44,0.43,21.91,2.02,93.73,2.47,1.22,53.08,22.82,6.15,12.14,24.45,26.01,1270,0.35,0.29,0.32
,,,,,,,,,,,,,,,,,,,
4.95,65.56,4.14,1.46,0.32,22.15,1.96,92.79,2.44,1.2,51.36,24.8,6.11,12.6,24.82,26.49,1280,0.31,0.28,0.33
,,,,,,,,,,,,,,,,,,,
4.86,65.65,4.2,1.44,0.29,22.22,1.68,92.75,2.45,1.16,52.85,23.88,5.77,12.78,24.33,26.31,1230,0.3,0.27,0.33
,,,,,,,,,,,,,,,,,,,
4.9,65.36,4.2,1.43,0.32,22.24,1.54,92.21,2.44,1.17,51.82,24.71,5.88,12.78,24.54,26.45,1200,0.34,0.28,0.33
,,,,,,,,,,,,,,,,,,,
4.9,65.56,4.21,1.44,0.25,22.38,1.56,91.97,2.46,1.16,51.47,25.38,5.86,12.81,24.53,26.41,1210,0.28,0.26,0.33
,,,,,,,,,,,,,,,,,,,
4.96,65.3,4.31,1.43,0.27,22.26,1.62,91.87,2.4,1.15,50.54,25.74,5.85,13.12,24.82,26.81,1220,0.32,0.28,0.34
,,,,,,,,,,,,,,,,,,,
5.03,65.29,4.3,1.45,0.22,22.4,1.72,91.25,2.4,1.17,48.57,27.62,6.05,13.08,25.19,26.97,1240,0.31,0.28,0.34
,,,,,,,,,,,,,,,,,,,
4.87,65.46,4.26,1.44,0.35,22.24,1.46,92.35,2.44,1.14,52.67,24.07,5.7,12.96,24.36,26.53,1280,0.32,0.29,0.34
,,,,,,,,,,,,,,,,,,,
4.96,64.7,4.22,1.42,0.43,22.52,1.12,90.17,2.45,1.18,48.28,28.18,6,12.84,24.85,26.77,1250,0.39,0.32,0.34
,,,,,,,,,,,,,,,,,,,
