Al2O3,CaO,Fe2O3,MgO,SO3,SiO2,F.CaO,LSF,SM,A/F,C3S,C2S,C3A,C4AF,2C3A+C4AF,LIQUID %,LT.WT Gm/Ltr,K2O,Na2O,TiO2
,,,,,,,,,,,,,,,,,,,
4.85,65.01,3.89,1.28,0.29,23.08,1.4,89.21,2.64,1.25,45.36,31.99,6.27,11.84,24.38,25.44,1310,0.3,0.25,0.32
,,,,,,,,,,,,,,,,,,,
4.23,65.25,3.61,1.28,0.39,23.05,1.54,90.78,2.94,1.17,50.56,27.99,5.1,10.99,21.19,23.09,1300,0.29,0.24,0.32
,,,,,,,,,,,,,,,,,,,
4.13,65.72,3.54,1.26,0.91,22.33,2.52,94.29,2.91,1.17,54.73,22.78,4.95,10.77,20.68,23.14,1330,0.38,0.3,0.31
,,,,,,,,,,,,,,,,,,,
4.21,64.77,3.64,1.25,0.39,22.62,2.24,91.65,2.88,1.16,49.11,27.84,5,11.08,21.07,23.07,1280,0.39,0.26,0.32
,,,,,,,,,,,,,,,,,,,
4.2,65.23,3.62,1.26,0.31,22.69,1.99,92.08,2.9,1.16,51.57,26.19,5,11.02,21.03,22.92,1300,0.38,0.26,0.31
4.24,65.35,3.67,1.26,0.25,22.78,1.85,91.82,2.88,1.16,51.6,26.42,5.03,11.17,21.22,23.09,1310,0.37,0.25,0.32
,,,,,,,,,,,,,,,,,,,
4.12,65.55,3.58,1.22,0.48,22.57,2.1,93.13,2.93,1.15,53.93,24.07,4.86,10.89,20.62,22.73,1320,0.39,0.26,0.31
,,,,,,,,,,,,,,,,,,,
4.31,66.04,3.77,1.27,0.33,22.72,1.96,92.81,2.81,1.14,53.81,24.59,5.04,11.47,21.56,23.61,1310,0.31,0.24,0.32
,,,,,,,,,,,,,,,,,,,
4.2,66.14,3.65,1.28,0.38,22.83,2.24,92.82,2.91,1.15,53.15,25.4,4.95,11.11,21.02,23.08,1320,0.3,0.23,0.31
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
4.42,65.79,3.67,1.27,1.01,22.38,2.52,93.63,2.77,1.2,52.5,24.6,5.5,11.17,22.17,24.39,1340,0.41,0.29,0.31
,,,,,,,,,,,,,,,,,,,
4.51,66.03,3.76,1.25,0.33,22.43,2.75,93.57,2.71,1.2,51.43,25.55,5.59,11.44,22.62,24.16,1350,0.31,0.24,0.32
,,,,,,,,,,,,,,,,,,,
4.44,65.9,3.76,1.22,0.35,22.26,2.94,94.13,2.71,1.18,51.88,24.72,5.4,11.44,22.25,23.94,1400,0.31,0.24,0.31
,,,,,,,,,,,,,,,,,,,
4.43,65.61,3.76,1.23,0.35,22.15,2.8,94.14,2.7,1.18,52.18,24.18,5.38,11.44,22.2,23.92,1330,0.31,0.23,0.31
,,,,,,,,,,,,,,,,,,,
4.82,65.03,3.84,1.28,0.21,23.35,0.98,88.4,2.7,1.26,45.37,32.76,6.28,11.69,24.24,25.16,1310,0.28,0.24,0.32
,,,,,,,,,,,,,,,,,,,
4.81,65.24,3.87,1.3,0.22,23.33,1.24,88.74,2.69,1.24,45.34,32.72,6.2,11.78,24.17,25.22,1300,0.26,0.25,0.33
,,,,,,,,,,,,,,,,,,,
4.71,65.07,3.69,1.28,0.29,23.29,1.36,88.93,2.77,1.28,45.39,32.57,6.24,11.23,23.7,24.58,1310,0.4,0.27,0.31
4.71,66.09,3.74,1.26,0.21,23.06,2.04,91.09,2.73,1.26,48.46,29.6,6.15,11.38,23.69,24.59,1290,0.26,0.23,0.31
,,,,,,,,,,,,,,,,,,,
4.53,66.51,3.72,1.22,0.2,22.81,2.86,92.85,2.76,1.22,49.97,27.75,5.71,11.32,22.74,23.97,1280,0.36,0.22,0.3
,,,,,,,,,,,,,,,,,,,
4.43,65.61,3.76,1.22,0.35,22.11,2.8,94.3,2.7,1.18,52.48,23.84,5.38,11.44,22.2,23.91,1260,0.31,0.24,0.31
,,,,,,,,,,,,,,,,,,,
4.43,66.76,3.71,1.22,0.3,22.7,2.66,93.77,2.79,1.19,53.32,24.9,5.46,11.29,22.21,23.75,1290,0.33,0.21,0.31
,,,,,,,,,,,,,,,,,,,
4.25,66.31,3.49,1.2,0.52,23.04,2.52,92.36,2.98,1.22,51,27.63,5.36,10.62,21.33,22.94,1260,0.45,0.21,0.3
,,,,,,,,,,,,,,,,,,,
4.35,66.4,3.92,1.18,0.29,22.78,2.66,92.91,2.75,1.11,51.48,26.51,4.89,11.93,21.72,23.93,1280,0.33,0.2,0.32
,,,,,,,,,,,,,,,,,,,
4.31,65.79,3.83,1.16,0.49,22.88,2.35,91.84,2.81,1.13,49.9,28,4.94,11.65,21.54,23.79,1250,0.37,0.2,0.31
,,,,,,,,,,,,,,,,,,,
4.46,65.77,3.91,1.19,0.48,22.96,2.24,91.23,2.74,1.14,48.54,29.25,5.2,11.9,22.3,24.43,1240,0.33,0.21,0.32
4.71,65.23,3.85,1.23,0.3,23.22,1.46,89.26,2.71,1.22,45.94,31.95,5.97,11.72,23.65,24.89,1310,0.29,0.2,0.33
,,,,,,,,,,,,,,,,,,,
4.48,66.28,3.75,1.21,0.75,22.44,2.68,93.94,2.73,1.19,52.87,24.5,5.53,11.41,22.47,24.43,1300,0.36,0.24,0.31
4.52,65.88,4.03,1.2,0.15,23.17,1.68,90.46,2.71,1.12,49.09,29.44,5.16,12.26,22.58,24.55,1320,0.3,0.19,0.32
,,,,,,,,,,,,,,,,,,,
4.53,65.94,3.87,1.19,0.38,22.86,2.24,91.75,2.72,1.17,49.57,28.18,5.46,11.78,22.69,24.45,1270,0.32,0.21,0.32
,,,,,,,,,,,,,,,,,,,
4.53,65.29,3.9,1.18,0.25,23.17,1.96,89.74,2.75,1.16,45.67,32.02,5.41,11.87,22.68,24.37,1200,0.32,0.21,0.32
4.52,65.22,3.83,1.2,0.42,23.13,1.43,89.85,2.77,1.18,48.01,30.14,5.5,11.65,22.65,24.38,1300,0.45,0.24,0.33
,,,,,,,,,,,,,,,,,,,
4.51,65.7,3.88,1.18,0.39,22.97,1.54,91.05,2.74,1.16,50.73,27.63,5.39,11.81,22.58,24.41,1300,0.36,0.21,0.32
,,,,,,,,,,,,,,,,,,,
4.76,65.35,4,1.31,0.29,23.08,1.12,89.72,2.63,1.19,48.33,29.75,5.85,12.17,23.86,25.44,1330,0.33,0.23,0.33
,,,,,,,,,,,,,,,,,,,
4.73,66,3.78,1.31,0.58,22.74,2.24,92.04,2.67,1.25,49.52,27.88,6.14,11.5,23.78,25.16,1220,0.58,0.29,0.32
,,,,,,,,,,,,,,,,,,,
4.67,64.9,3.69,1.29,0.62,22.69,1.85,90.84,2.71,1.27,47.54,29.23,6.13,11.23,23.49,24.8,1280,0.39,0.26,0.32
4.59,64.99,3.75,1.31,0.37,22.9,1.74,90.3,2.75,1.22,47.21,30.08,5.82,11.41,23.05,24.47,1300,0.39,0.25,0.32
,,,,,,,,,,,,,,,,,,,
4.42,66.79,3.73,1.22,0.3,22.63,2.86,94.06,2.78,1.18,53.2,24.79,5.4,11.35,22.15,23.77,1280,0.33,0.22,0.31
,,,,,,,,,,,,,,,,,,,
4.71,64.97,3.67,1.32,0.51,23.21,1.68,89.08,2.77,1.28,44.32,33.15,6.27,11.17,23.71,24.8,1260,0.37,0.23,0.32
,,,,,,,,,,,,,,,,,,,
4.7,65.65,3.76,1.32,0.37,22.91,1.46,91.01,2.71,1.25,50.2,27.85,6.09,11.44,23.63,24.83,1250,0.36,0.23,0.32
,,,,,,,,,,,,,,,,,,,
4.68,65.6,3.73,1.32,0.35,22.91,1.29,90.99,2.72,1.25,50.87,27.35,6.09,11.35,23.53,24.68,1290,0.39,0.24,0.32
,,,,,,,,,,,,,,,,,,,
4.38,66.14,3.5,1.3,0.58,23.03,1.62,91.95,2.92,1.25,53.16,25.97,5.69,10.65,22.02,23.5,1310,0.36,0.22,0.3
,,,,,,,,,,,,,,,,,,,
4.53,66.23,3.66,1.34,0.24,22.89,2.04,92.22,2.79,1.24,51.64,26.71,5.81,11.14,22.76,24,1290,0.33,0.22,0.31
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
4.34,65.81,3.42,1.36,1.07,22.84,2.68,92.31,2.94,1.27,49.33,28.31,5.71,10.41,21.84,23.76,1240,0.44,0.29,0.3
,,,,,,,,,,,,,,,,,,,
4.93,65.43,3.72,1.35,0.37,22.47,2.24,91.96,2.6,1.33,47.99,28.26,6.77,11.32,24.86,25.45,1260,0.29,0.31,0.32
