Al2O3,CaO,Fe2O3,MgO,SO3,SiO2,F.CaO,LSF,SM,A/F,C3S,C2S,C3A,C4AF,2C3A+C4AF,LIQUID %,LT.WT Gm/Ltr,K2O,Na2O,TiO2
4.5,64.91,3.6,1.27,0.54,23.03,1.4,89.99,2.84,1.25,48.1,29.79,5.83,10.95,22.62,24.01,1300,0.46,0.32,0.31
,,,,,,,,,,,,,,,,,,,
4.59,64.57,3.68,1.25,0.32,23.11,1.36,89.04,2.79,1.25,45.55,31.94,5.94,11.2,23.07,24.21,1330,0.47,0.32,0.32
,,,,,,,,,,,,,,,,,,,
4.66,64.91,3.65,1.28,0.41,22.82,1.96,90.45,2.75,1.28,46.27,30.56,6.17,11.11,23.45,24.47,1260,0.45,0.32,0.31
,,,,,,,,,,,,,,,,,,,
4.79,64.51,3.76,1.3,0.41,23.12,1.12,88.57,2.7,1.27,44.75,32.57,6.33,11.44,24.1,25.11,1320,0.43,0.32,0.32
4.84,64.68,3.62,1.33,0.14,23.12,1.26,88.85,2.73,1.34,44.73,32.58,6.7,11.02,24.42,24.71,1330,0.38,0.31,0.32
,,,,,,,,,,,,,,,,,,,
4.82,65.54,3.67,1.33,0.39,22.6,1.96,91.85,2.66,1.31,49.4,27.57,6.56,11.17,24.29,25.01,1320,0.39,0.31,0.31
,,,,,,,,,,,,,,,,,,,
4.66,65.66,3.51,1.32,0.28,22.75,1.68,91.86,2.78,1.33,51.19,26.65,6.41,10.68,23.5,24.07,1310,0.38,0.3,0.31
,,,,,,,,,,,,,,,,,,,
4.75,65.18,3.47,1.32,0.28,23.09,1.4,89.89,2.81,1.37,47.25,30.6,6.72,10.56,23.99,24.25,1280,0.41,0.32,0.31
,,,,,,,,,,,,,,,,,,,
4.74,64.88,3.57,1.33,0.33,23.11,1.36,89.34,2.78,1.33,45.96,31.63,6.52,10.86,23.9,24.5,1300,0.42,0.34,0.31
,,,,,,,,,,,,,,,,,,,
4.73,64.73,3.53,1.32,0.48,22.88,1.26,89.98,2.77,1.34,47.63,29.71,6.56,10.74,23.87,24.52,1270,0.45,0.34,0.31
,,,,,,,,,,,,,,,,,,,
4.78,64.62,3.43,1.31,0.69,22.98,1.17,89.48,2.8,1.39,46.59,30.77,6.86,10.44,24.16,24.65,1300,0.41,0.36,0.31
,,,,,,,,,,,,,,,,,,,
4.76,64.9,3.45,1.32,0.5,22.99,1.26,89.85,2.8,1.38,47.4,30.2,6.78,10.5,24.05,24.45,1290,0.43,0.35,0.31
,,,,,,,,,,,,,,,,,,,
4.7,65.26,3.41,1.34,0.38,22.87,1.4,90.89,2.82,1.38,49.67,28.14,6.69,10.38,23.75,24.09,1280,0.42,0.34,0.3
,,,,,,,,,,,,,,,,,,,
4.68,65.25,3.53,1.37,0.38,22.86,1.26,90.85,2.78,1.33,50.23,27.69,6.43,10.74,23.6,24.32,1310,0.4,0.34,0.3
,,,,,,,,,,,,,,,,,,,
4.68,64.96,3.59,1.42,0.47,22.78,1.46,90.68,2.75,1.3,48.76,28.57,6.33,10.92,23.58,24.59,1340,0.47,0.38,0.31
,,,,,,,,,,,,,,,,,,,
4.78,64.68,3.58,1.48,0.55,22.77,1.43,90.18,2.72,1.34,47.16,29.74,6.61,10.89,24.11,25.01,1340,0.52,0.41,0.3
4.75,64.69,3.61,1.44,0.53,22.67,1.35,90.57,2.71,1.32,48.45,28.49,6.48,10.99,23.94,24.92,1300,0.51,0.4,0.31
,,,,,,,,,,,,,,,,,,,
4.87,64.15,3.77,1.46,0.43,22.88,1.01,88.78,2.65,1.29,45,31.69,6.53,11.47,24.53,25.55,1310,0.53,0.38,0.33
,,,,,,,,,,,,,,,,,,,
4.78,65.52,3.68,1.37,0.51,22.64,1.24,91.73,2.68,1.3,52.2,25.57,6.44,11.2,24.08,25.08,1410,0.35,0.32,0.32
,,,,,,,,,,,,,,,,,,,
4.85,65.86,3.74,1.39,0.52,21.94,1.86,94.65,2.55,1.3,55.83,20.83,6.52,11.38,24.43,25.45,1370,0.4,0.35,0.32
,,,,,,,,,,,,,,,,,,,
4.77,65.42,3.62,1.36,0.33,22.51,1.72,92.13,2.68,1.32,50.98,26.12,6.52,11.02,24.05,24.73,1300,0.37,0.33,0.32
,,,,,,,,,,,,,,,,,,,
4.81,64.49,3.61,1.39,0.31,23.06,0.86,88.84,2.74,1.33,46.26,31.26,6.64,10.99,24.26,24.83,1420,0.37,0.33,0.32
,,,,,,,,,,,,,,,,,,,
4.81,64.53,3.74,1.48,0.65,22.72,1.26,89.97,2.66,1.29,47.19,29.58,6.42,11.38,24.22,25.55,1360,0.5,0.39,0.33
,,,,,,,,,,,,,,,,,,,
4.87,64.49,3.8,1.48,0.55,22.54,1.68,90.41,2.6,1.28,46.2,29.81,6.48,11.56,24.52,25.76,1260,0.42,0.37,0.32
,,,,,,,,,,,,,,,,,,,
4.87,65,3.86,1.51,0.43,22.67,1.4,90.62,2.6,1.26,48.34,28.57,6.37,11.75,24.49,25.8,1320,0.39,0.36,0.32
,,,,,,,,,,,,,,,,,,,
5,65,4.08,1.57,0.39,22.15,1.82,92.1,2.44,1.23,49.4,26.28,6.35,12.42,25.11,26.69,1310,0.38,0.36,0.33
,,,,,,,,,,,,,,,,,,,
5.09,64.79,4.04,1.57,0.41,22.45,1.4,90.63,2.46,1.26,47.42,28.63,6.65,12.29,25.6,26.88,1350,0.39,0.38,0.34
,,,,,,,,,,,,,,,,,,,
4.97,65,4.07,1.53,0.38,21.99,1.73,92.75,2.43,1.22,51.2,24.47,6.28,12.39,24.95,26.53,1340,0.37,0.37,0.34
4.99,64.56,4.06,1.53,0.42,22.12,1.68,91.62,2.44,1.23,48.5,26.87,6.35,12.35,25.06,26.6,1320,0.39,0.37,0.34
,,,,,,,,,,,,,,,,,,,
4.92,65.06,3.79,1.47,0.56,22.67,1.43,90.68,2.6,1.3,48.23,28.65,6.63,11.53,24.78,25.88,1320,0.43,0.37,0.33
,,,,,,,,,,,,,,,,,,,
4.83,65.25,3.68,1.44,0.49,22.62,1.82,91.35,2.66,1.31,48.56,28.26,6.57,11.2,24.34,25.27,1260,0.39,0.34,0.33
,,,,,,,,,,,,,,,,,,,
4.76,64.85,3.6,1.44,0.45,22.89,1.4,90.01,2.74,1.32,47.17,30.08,6.52,10.95,24,24.85,1310,0.37,0.33,0.32
,,,,,,,,,,,,,,,,,,,
4.78,65.24,3.53,1.45,0.38,22.76,1.68,91.04,2.74,1.35,48.57,28.65,6.69,10.74,24.13,24.7,1240,0.36,0.32,0.32
,,,,,,,,,,,,,,,,,,,
4.71,65.22,3.51,1.44,0.53,22.78,1.26,91.06,2.77,1.34,50.55,27.22,6.54,10.68,23.77,24.59,1330,0.37,0.33,0.32
,,,,,,,,,,,,,,,,,,,
4.79,64.81,3.56,1.44,0.42,22.73,1.71,90.5,2.72,1.35,46.82,29.89,6.67,10.83,24.17,24.82,1340,0.34,0.33,0.32
,,,,,,,,,,,,,,,,,,,
4.88,64.79,3.67,1.48,0.5,22.71,1.51,90.32,2.66,1.33,46.94,29.74,6.72,11.17,24.61,25.45,1280,0.34,0.34,0.33
,,,,,,,,,,,,,,,,,,,
4.62,65.15,3.65,1.4,0.55,22.41,2.18,92.32,2.71,1.27,49.73,26.77,6.07,11.11,23.24,24.61,1350,0.32,0.32,0.32
,,,,,,,,,,,,,,,,,,,
4.78,65.49,3.78,1.44,0.38,21.89,2.52,94.38,2.56,1.26,52.43,23.25,6.27,11.5,24.05,25.24,1360,0.35,0.34,0.32
,,,,,,,,,,,,,,,,,,,
