Al2O3,CaO,Fe2O3,MgO,SO3,SiO2,F.CaO,LSF,SM,A/F,C3S,C2S,C3A,C4AF,2C3A+C4AF,LIQUID %,LT.WT Gm/Ltr,K2O,Na2O,TiO2
4.99,63.78,4.19,1.54,0.41,21.53,2.74,92.44,2.35,1.19,45.31,27.59,6.13,12.75,25.02,26.89,1210,0.43,0.39,0.34
,,,,,,,,,,,,,,,,,,,
4.99,64.01,4.17,1.55,0.32,21.62,2.04,92.45,2.36,1.2,48.44,25.48,6.17,12.69,25.03,26.76,1310,0.39,0.4,0.34
,,,,,,,,,,,,,,,,,,,
5.02,63.68,4.14,1.54,0.24,21.83,1.48,91.18,2.38,1.21,47.62,26.7,6.3,12.6,25.19,26.7,1400,0.39,0.39,0.34
,,,,,,,,,,,,,,,,,,,
5,64.12,4.17,1.55,0.25,21.55,1.46,92.86,2.35,1.2,51.71,22.81,6.19,12.69,25.08,26.72,1360,0.4,0.39,0.33
,,,,,,,,,,,,,,,,,,,
5.09,63.81,4.19,1.57,0.26,21.55,2.36,92.25,2.32,1.21,46.15,27.01,6.4,12.75,25.55,27.06,1280,0.39,0.39,0.34
,,,,,,,,,,,,,,,,,,,
5.16,63.56,4.13,1.54,0.31,21.9,1.9,90.55,2.36,1.25,43.96,29.66,6.69,12.57,25.94,27.16,1330,0.44,0.4,0.34
,,,,,,,,,,,,,,,,,,,
5.01,63.79,4.1,1.55,0.36,21.4,2.52,92.99,2.35,1.22,47.23,25.77,6.34,12.48,25.15,26.71,1260,0.42,0.42,0.36
,,,,,,,,,,,,,,,,,,,
5.11,63.78,4.2,1.56,0.28,21.81,1.96,91.21,2.34,1.22,45.53,28.22,6.44,12.78,25.65,27.15,1380,0.4,0.4,0.34
,,,,,,,,,,,,,,,,,,,
5.1,63.57,4.17,1.56,0.45,21.71,2.24,91.31,2.34,1.22,44.41,28.78,6.46,12.69,25.61,27.23,1330,0.46,0.42,0.34
,,,,,,,,,,,,,,,,,,,
4.96,63.8,3.88,1.48,0.4,21.95,2.4,91.23,2.48,1.28,44.23,29.61,6.58,11.81,24.96,26.05,1320,0.41,0.39,0.33
,,,,,,,,,,,,,,,,,,,
5.11,63.6,3.99,1.45,0.3,21.89,1.88,90.83,2.41,1.28,44.82,28.99,6.79,12.14,25.72,26.6,1360,0.39,0.37,0.33
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
4.98,63.91,4.04,1.53,0.27,21.68,2.52,92.21,2.4,1.23,45.87,27.59,6.36,12.29,25.02,26.38,1200,0.4,0.36,0.34
,,,,,,,,,,,,,,,,,,,
4.94,63.9,4.02,1.52,0.27,21.74,2.1,92.06,2.43,1.23,47.38,26.62,6.29,12.23,24.81,26.21,1260,0.4,0.37,0.33
,,,,,,,,,,,,,,,,,,,
4.92,63.89,4.04,1.5,0.27,21.88,1.4,91.54,2.44,1.22,49.24,25.63,6.2,12.29,24.7,26.17,1350,0.4,0.36,0.33
5.03,63.79,4.08,1.53,0.31,21.73,2.07,91.73,2.38,1.23,46.41,27.33,6.43,12.43,25.29,26.68,1312,0.41,0.39,0.34
0.08,0.17,0.1,0.04,0.06,0.18,0.39,0.8,0.05,0.03,2.37,2.07,0.19,0.3,0.42,0.43,55.1,0.02,0.02,0.01
,,,,,,,,,,,,,,,,,,,
4.62,63.86,4.13,1.34,0.27,22.35,0.56,90.19,2.55,1.12,50.85,25.76,5.26,12.57,23.08,25.33,1400,0.42,0.35,0.32
,,,,,,,,,,,,,,,,,,,
4.58,63.6,4.33,1.31,0.32,22.2,1.26,90.25,2.49,1.06,48.06,27.43,4.81,13.18,22.8,25.67,1340,0.47,0.36,0.33
,,,,,,,,,,,,,,,,,,,
4.41,63.7,4.31,1.28,0.32,20.97,2.68,95.35,2.4,1.02,53.21,20.02,4.39,13.12,21.9,25.09,1300,0.42,0.33,0.32
,,,,,,,,,,,,,,,,,,,
4.57,63.97,4.25,1.3,0.35,22.16,2.34,91,2.51,1.08,45.66,29.13,4.92,12.93,22.77,25.48,1250,0.41,0.35,0.33
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
4.79,64.55,4.28,1.32,0.29,21.43,2.24,94.19,2.36,1.12,52.45,21.91,5.45,13.02,23.93,26.16,1280,0.38,0.34,0.32
,,,,,,,,,,,,,,,,,,,
4.85,64.58,4.29,1.31,0.31,21.23,2.36,94.9,2.32,1.13,53.19,20.78,5.59,13.05,24.24,26.37,1250,0.38,0.34,0.32
,,,,,,,,,,,,,,,,,,,
4.99,64.39,4.25,1.35,0.35,21.67,2.68,92.75,2.35,1.17,46.89,26.8,6.03,12.93,25,26.77,1280,0.34,0.35,0.33
,,,,,,,,,,,,,,,,,,,
4.97,63.95,4.06,1.42,0.37,22.43,3.06,89.56,2.48,1.22,38.18,35.54,6.3,12.35,24.96,26.38,1250,0.42,0.39,0.33
,,,,,,,,,,,,,,,,,,,
4.99,64.11,3.91,1.49,0.33,22.27,1.86,90.44,2.5,1.28,45.01,29.93,6.61,11.9,25.11,26.14,1300,0.41,0.41,0.32
,,,,,,,,,,,,,,,,,,,
4.96,63.99,3.99,1.45,0.44,22.05,1.96,91.04,2.46,1.24,45.87,28.65,6.39,12.14,24.93,26.3,1250,0.49,0.44,0.33
,,,,,,,,,,,,,,,,,,,
5.1,64.42,4.04,1.45,0.26,22.35,1.26,90.32,2.45,1.26,47.18,28.53,6.68,12.29,25.65,26.64,1340,0.35,0.4,0.34
,,,,,,,,,,,,,,,,,,,
4.97,64.14,3.92,1.49,0.33,22.26,1.12,90.54,2.5,1.27,48.34,27.39,6.54,11.93,25,26.11,1350,0.41,0.39,0.32
,,,,,,,,,,,,,,,,,,,
5.16,63.96,4.02,1.45,0.35,22.32,1.4,89.7,2.43,1.28,44.59,30.39,6.87,12.23,25.98,26.87,1300,0.46,0.45,0.34
,,,,,,,,,,,,,,,,,,,
5.02,64.26,4,1.47,0.41,21.77,3.06,92.35,2.41,1.26,44.21,29.11,6.54,12.17,25.24,26.49,1240,0.46,0.45,0.33
,,,,,,,,,,,,,,,,,,,
4.99,64.47,4.02,1.48,0.36,21.37,2.86,94.2,2.37,1.24,49.09,24.28,6.42,12.23,25.08,26.4,1240,0.44,0.43,0.33
,,,,,,,,,,,,,,,,,,,
4.93,64.56,3.99,1.47,0.3,21.78,2.46,92.9,2.44,1.24,48.41,25.96,6.31,12.14,24.77,26.09,1260,0.4,0.43,0.33
,,,,,,,,,,,,,,,,,,,
5.21,63.97,4.06,1.45,0.33,22.19,1.62,90.07,2.39,1.28,44.33,30.21,6.94,12.35,26.23,27.08,1310,0.38,0.42,0.35
,,,,,,,,,,,,,,,,,,,
5,64.4,4.02,1.46,0.3,22.02,2.24,91.65,2.44,1.24,46.32,28.23,6.45,12.23,25.13,26.35,1270,0.38,0.42,0.34
,,,,,,,,,,,,,,,,,,,
4.97,64.25,4.01,1.45,0.34,22.08,1.72,91.27,2.46,1.24,47.58,27.45,6.39,12.2,24.97,26.27,1320,0.44,0.43,0.33
,,,,,,,,,,,,,,,,,,,
5.07,65.09,4.08,1.45,0.32,21.45,2.52,94.61,2.34,1.24,51.76,22.49,6.53,12.42,25.48,26.7,1300,0.41,0.42,0.33
5.06,64.58,4.14,1.44,0.43,21.66,2.88,93.04,2.35,1.22,46.61,26.98,6.4,12.6,25.41,26.91,1270,0.41,0.42,0.33
5.04,64.37,4.03,1.46,0.35,21.89,2.19,92.03,2.42,1.25,47.12,27.25,6.54,12.25,25.33,26.53,1286,0.42,0.43,0.33
0.09,0.34,0.06,0.02,0.04,0.33,0.68,1.68,0.05,0.02,2.41,2.5,0.21,0.18,0.46,0.35,35.96,0.03,0.02,0.01
,,,,,,,,,,,,,,,,,,,
5.01,64.77,4.04,1.55,0.36,21.06,3.25,95.81,2.33,1.24,50.92,22.01,6.44,12.29,25.18,26.58,1220,0.44,0.42,0.34
,,,,,,,,,,,,,,,,,,,
5.01,65.09,4.08,1.53,0.29,21,2.4,96.48,2.31,1.23,56.08,17.95,6.37,12.42,25.16,26.58,1310,0.38,0.4,0.33
,,,,,,,,,,,,,,,,,,,
5.04,65.09,4.06,1.55,0.38,20.6,3.06,98.08,2.26,1.24,56.26,16.66,6.49,12.35,25.33,26.73,1300,0.41,0.41,0.33
,,,,,,,,,,,,,,,,,,,
5.06,65.1,4.1,1.55,0.31,21.15,3.36,95.8,2.31,1.23,50.71,22.43,6.47,12.48,25.42,26.81,1320,0.4,0.4,0.34
,,,,,,,,,,,,,,,,,,,
5.1,64.62,4.13,1.56,0.33,21.57,2.24,93.38,2.34,1.23,49.81,24.31,6.53,12.57,25.62,27.02,1330,0.4,0.4,0.34
,,,,,,,,,,,,,,,,,,,
5.06,64.59,4.07,1.55,0.33,21.66,2.04,93.12,2.37,1.24,50.17,24.29,6.52,12.39,25.43,26.76,1330,0.43,0.4,0.34
,,,,,,,,,,,,,,,,,,,
4.99,64.67,4.04,1.55,0.36,21.54,2.1,93.83,2.39,1.24,51.68,22.81,6.39,12.29,25.07,26.52,1320,0.39,0.39,0.35
,,,,,,,,,,,,,,,,,,,
