Al2O3,CaO,Fe2O3,MgO,SO3,SiO2,F.CaO,LSF,SM,A/F,C3S,C2S,C3A,C4AF,2C3A+C4AF,LIQUID %,LT.WT Gm/Ltr,K2O,Na2O,TiO2
5.05,64.98,4,1.65,0.76,21.6,2.8,93.98,2.39,1.26,49.29,24.79,6.61,12.17,25.4,27.11,1220,0.41,0.37,0.34
5.05,65.69,3.97,1.59,0.33,21.34,2.66,96.05,2.37,1.27,54.77,19.91,6.67,12.08,25.41,26.55,1220,0.35,0.34,0.34
,,,,,,,,,,,,,,,,,,,
5.2,66.18,4.04,1.59,0.26,21.07,2.8,97.52,2.28,1.29,57.14,17.35,6.94,12.29,26.18,27.08,1310,0.31,0.31,0.34
,,,,,,,,,,,,,,,,,,,
4.87,65.68,4.54,1.52,0.39,21.35,2.46,95.78,2.27,1.07,55.86,19.12,5.22,13.82,24.26,27.26,1300,0.3,0.28,0.35
,,,,,,,,,,,,,,,,,,,
4.63,65.97,4.92,1.37,0.25,21.37,2.36,96.18,2.24,0.94,58.36,17.28,3.94,14.97,22.86,27.1,1320,0.28,0.23,0.33
,,,,,,,,,,,,,,,,,,,
4.49,66.32,5.04,1.37,0.4,20.86,2.24,98.88,2.19,0.89,64.92,10.88,3.37,15.34,22.08,27.1,1330,0.32,0.26,0.32
,,,,,,,,,,,,,,,,,,,
4.44,65.92,5.28,1.32,0.31,21.37,3.14,96.1,2.2,0.84,55.74,19.26,2.83,16.07,21.73,27.34,1330,0.29,0.24,0.32
,,,,,,,,,,,,,,,,,,,
4.39,65.66,5.15,1.31,0.33,21.37,1.88,95.92,2.24,0.85,60.34,15.79,2.92,15.67,21.51,26.92,1340,0.28,0.22,0.31
,,,,,,,,,,,,,,,,,,,
4.43,65.54,5.09,1.28,0.43,21.63,1.96,94.73,2.27,0.87,57.36,18.78,3.13,15.49,21.74,26.98,1310,0.28,0.23,0.32
,,,,,,,,,,,,,,,,,,,
4.37,65.9,5.08,1.27,0.34,21.56,1.9,95.63,2.28,0.86,60.02,16.58,2.99,15.46,21.43,26.68,1350,0.27,0.2,0.32
,,,,,,,,,,,,,,,,,,,
4.4,65.55,5.17,1.26,0.43,21.64,2.24,94.68,2.26,0.85,56.28,19.63,2.91,15.73,21.56,27.04,1290,0.28,0.21,0.32
,,,,,,,,,,,,,,,,,,,
4.39,65.64,5.24,1.25,0.31,21.58,2.66,95,2.24,0.84,55.36,20.15,2.77,15.95,21.48,27.04,1210,0.29,0.2,0.31
,,,,,,,,,,,,,,,,,,,
4.38,65.63,5.27,1.24,0.22,21.81,2.21,94.09,2.26,0.83,55.42,20.76,2.69,16.04,21.42,26.98,1250,0.25,0.19,0.31
4.41,65.47,5.32,1.26,0.21,21.83,2.46,93.7,2.24,0.83,53.33,22.4,2.69,16.19,21.56,27.18,1260,0.25,0.18,0.31
,,,,,,,,,,,,,,,,,,,
4.37,65.55,5.38,1.22,0.38,21.69,2.74,94.35,2.22,0.81,53.76,21.67,2.48,16.37,21.33,27.33,1210,0.26,0.19,0.31
,,,,,,,,,,,,,,,,,,,
4.34,65.39,5.42,1.24,0.46,21.88,1.96,93.42,2.24,0.8,54.99,21.29,2.33,16.49,21.15,27.43,1290,0.27,0.2,0.31
4.6,66.03,5.3,1.26,0.41,21.35,1.9,96.05,2.16,0.87,60.29,15.77,3.22,16.13,22.57,27.9,1350,0.2,0.22,0.32
,,,,,,,,,,,,,,,,,,,
4.59,65.77,5.28,1.26,0.32,21.58,2.24,94.82,2.19,0.87,56.19,19.52,3.23,16.07,22.53,27.74,1300,0.28,0.2,0.32
,,,,,,,,,,,,,,,,,,,
4.6,65.22,5.43,1.25,0.32,21.99,1.26,92.35,2.19,0.85,54.55,21.94,3,16.52,22.53,28.09,1330,0.25,0.21,0.32
,,,,,,,,,,,,,,,,,,,
4.42,65.75,5.37,1.23,0.25,22.09,1.4,93.07,2.26,0.82,56.67,20.63,2.63,16.34,21.59,27.33,1290,0.23,0.18,0.32
,,,,,,,,,,,,,,,,,,,
4.33,65.03,5.55,1.24,0.45,21.58,1.34,93.94,2.18,0.78,58.21,18,2.08,16.89,21.06,27.67,1320,0.27,0.2,0.31
,,,,,,,,,,,,,,,,,,,
4.22,65.86,5.5,1.21,0.36,21.59,1.34,95.32,2.22,0.77,62.32,14.93,1.88,16.74,20.49,27.12,1330,0.25,0.2,0.31
,,,,,,,,,,,,,,,,,,,
4.24,65.5,5.41,1.21,0.43,21.47,1.96,95.31,2.22,0.78,59.24,16.91,2.08,16.46,20.63,27.05,1310,0.25,0.2,0.3
4.24,65.79,5.47,1.21,0.35,21.62,1.59,95.1,2.23,0.78,60.7,16.24,1.98,16.65,20.61,27.1,1310,0.27,0.19,0.31
,,,,,,,,,,,,,,,,,,,
4.31,66.1,5.44,1.21,0.57,21.33,1.9,96.59,2.19,0.79,62.47,14.07,2.22,16.55,20.99,27.46,1280,0.29,0.2,0.3
,,,,,,,,,,,,,,,,,,,
4.32,66.69,5.51,1.2,0.47,21.43,1.96,96.98,2.18,0.78,63.7,13.43,2.13,16.77,21.02,27.54,1320,0.27,0.2,0.3
,,,,,,,,,,,,,,,,,,,
4.56,65.15,5.58,1.24,0.56,21.79,1.73,92.92,2.15,0.82,53.92,21.84,2.64,16.98,22.27,28.53,1330,0.28,0.22,0.32
,,,,,,,,,,,,,,,,,,,
4.29,65.43,5.58,1.21,0.47,21.49,1.88,94.9,2.18,0.77,58.55,17.49,1.93,16.98,20.83,27.61,1310,0.26,0.19,0.31
,,,,,,,,,,,,,,,,,,,
4.29,65.78,5.53,1.2,0.35,21.64,1.68,94.87,2.2,0.78,59.72,17.04,2.01,16.83,20.85,27.37,1350,0.26,0.31,0.31
5.57,64.68,4.4,1.67,0.27,22.67,0.84,88.58,2.27,1.27,43.84,31.96,7.32,13.39,28.02,29.05,1490,0.17,0.28,0.4
,,,,,,,,,,,,,,,,,,,
5.63,65.82,4.51,1.65,0.28,22.31,0.84,91.22,2.2,1.25,50.66,25.79,7.29,13.72,28.3,29.46,1450,0.27,0.34,0.38
,,,,,,,,,,,,,,,,,,,
5.45,65.72,4.4,1.62,0.55,21.88,2.04,93,2.22,1.24,50,25.05,7,13.39,27.38,28.93,1300,0.34,0.37,0.36
,,,,,,,,,,,,,,,,,,,
5.41,65.7,4.42,1.63,0.25,22.02,2.36,92.51,2.24,1.22,47.8,27.12,6.86,13.45,27.17,28.56,1360,0.26,0.32,0.37
,,,,,,,,,,,,,,,,,,,
5.22,66.26,4.36,1.63,0.42,21.78,2.46,94.55,2.27,1.2,52.86,22.61,6.46,13.27,26.18,28.04,1360,0.34,0.36,0.37
5.1,66.1,4.27,1.63,0.45,22.01,2.24,93.73,2.35,1.19,52.29,23.7,6.29,12.99,25.57,27.52,1340,0.32,0.36,0.37
,,,,,,,,,,,,,,,,,,,
5.36,65.54,4.42,1.65,0.39,22.09,2.04,92.11,2.26,1.21,48.25,26.97,6.73,13.45,26.9,28.58,1350,0.32,0.35,0.38
,,,,,,,,,,,,,,,,,,,
5.31,66.07,4.46,1.67,0.39,21.94,2.1,93.45,2.25,1.19,51.58,24.03,6.53,13.57,26.62,28.54,1290,0.32,0.36,0.38
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
4.94,65.04,4.29,1.62,0.45,21.47,1.96,94.49,2.33,1.15,54.26,20.66,5.83,13.05,24.72,27.08,1320,0.34,0.36,0.37
,,,,,,,,,,,,,,,,,,,
5.12,65,4.33,1.69,0.55,21.81,2.38,92.82,2.31,1.18,48.54,25.95,6.24,13.18,25.66,27.87,1230,0.34,0.34,0.37
5.49,65.32,4.4,1.67,0.26,22.01,1.24,91.9,2.23,1.25,50.38,25.14,7.1,13.39,27.6,28.81,1430,0.24,0.31,0.38
,,,,,,,,,,,,,,,,,,,
5.29,66.78,4.34,1.63,0.23,21.53,1.46,96.15,2.24,1.22,60.5,16.13,6.68,13.21,26.56,28.01,1430,0.17,0.3,0.36
5.28,66.06,4.35,1.63,0.48,21.01,3.36,97.16,2.18,1.21,53.84,19.66,6.63,13.24,26.5,28.26,1280,0.33,0.35,0.36
,,,,,,,,,,,,,,,,,,,
5.37,66.54,4.39,1.67,0.27,21.32,2.24,96.44,2.18,1.22,57.34,17.91,6.8,13.36,26.96,28.44,1370,0.27,0.33,0.37
,,,,,,,,,,,,,,,,,,,
5.24,66.25,4.38,1.62,0.28,21.24,2.52,96.56,2.21,1.2,56.51,18.31,6.48,13.33,26.28,27.99,1350,0.32,0.32,0.36
,,,,,,,,,,,,,,,,,,,
5.27,66.19,4.37,1.66,0.39,21.05,2.8,97.19,2.18,1.21,56.39,17.86,6.57,13.3,26.44,28.21,1220,0.33,0.33,0.36
