Al2O3,CaO,Fe2O3,MgO,SO3,SiO2,F.CaO,LSF,SM,A/F,C3S,C2S,C3A,C4AF,2C3A+C4AF,LIQUID %,LT.WT Gm/Ltr,K2O,Na2O,TiO2
4.8,63.82,3.84,1.71,0.35,21.57,2.8,92.96,2.5,1.25,46.7,26.65,6.22,11.69,24.13,25.67,1210,0.36,0.38,0.34
,,,,,,,,,,,,,,,,,,,
4.8,63.4,3.86,1.66,0.36,21.93,1.96,91,2.53,1.24,45.64,28.48,6.19,11.75,24.12,25.67,1250,0.34,0.36,0.35
4.97,63.81,3.96,1.71,0.56,21.07,3.06,94.49,2.36,1.26,48.09,24.17,6.47,12.05,24.99,26.64,1200,0.38,0.41,0.34
,,,,,,,,,,,,,,,,,,,
,,,,,,3.64,,,,,,,,,,1150,,,
,,,,,,,,,,,,,,,,,,,
4.8,64.11,3.85,1.71,0.29,21.64,2.64,93.11,2.5,1.25,47.99,25.88,6.21,11.72,24.13,25.63,1260,0.33,0.37,0.34
,,,,,,,,,,,,,,,,,,,
4.8,63.86,3.88,1.72,0.36,21.53,3.06,93.14,2.48,1.24,46.05,27.03,6.16,11.81,24.12,25.78,1250,0.38,0.37,0.35
,,,,,,,,,,,,,,,,,,,
4.87,63.79,3.85,1.72,0.3,21.52,2.58,92.98,2.47,1.26,47.37,26,6.39,11.72,24.5,25.86,1280,0.34,0.38,0.35
,,,,,,,,,,,,,,,,,,,
4.82,63.78,3.83,1.7,0.39,21.41,2.3,93.49,2.48,1.26,49.67,23.95,6.29,11.65,24.24,25.74,1290,0.34,0.38,0.35
,,,,,,,,,,,,,,,,,,,
4.74,63.02,3.83,1.69,0.32,21.51,2.52,92.13,2.51,1.24,45.46,27.42,6.08,11.65,23.82,25.42,1270,0.34,0.37,0.34
,,,,,,,,,,,,,,,,,,,
4.91,63.59,3.9,1.7,0.31,21.68,2.46,91.98,2.46,1.26,45.49,27.88,6.41,11.87,24.69,26.07,1250,0.34,0.39,0.35
,,,,,,,,,,,,,,,,,,,
5.02,63.55,3.94,1.73,0.38,21.69,2.3,91.68,2.42,1.27,45.1,28.2,6.64,11.99,25.26,26.59,1260,0.37,0.38,0.36
,,,,,,,,,,,,,,,,,,,
4.89,64.27,3.87,1.67,0.34,21.25,2.12,94.68,2.43,1.26,53.09,20.92,6.41,11.78,24.6,25.95,1300,0.33,0.35,0.35
,,,,,,,,,,,,,,,,,,,
4.87,64.58,3.91,1.66,0.37,20.99,1.82,96.16,2.39,1.25,57.62,16.75,6.29,11.9,24.48,26,1350,0.33,0.36,0.34
,,,,,,,,,,,,,,,,,,,
4.84,64.22,3.87,1.67,0.33,21.18,1.68,94.96,2.43,1.25,55.54,18.87,6.28,11.78,24.33,25.79,1380,0.33,0.37,0.34
,,,,,,,,,,,,,,,,,,,
4.85,64.11,3.88,1.72,0.32,21.36,1.96,94.07,2.45,1.25,52.5,21.67,6.29,11.81,24.38,25.88,1300,0.36,0.37,0.35
,,,,,,,,,,,,,,,,,,,
4.86,63.71,3.9,1.71,0.47,21.19,2.24,94.11,2.42,1.25,50.93,22.37,6.28,11.87,24.43,26.1,1250,0.39,0.37,0.35
4.86,63.85,3.86,1.72,0.34,21.19,2.1,94.35,2.43,1.26,52.13,21.47,6.35,11.75,24.44,25.89,1280,0.36,0.37,0.34
,,,,,,,,,,,,,,,,,,,
4.85,63.91,3.89,1.71,0.26,21.22,1.96,94.31,2.43,1.25,52.74,21.09,6.27,11.84,24.38,25.84,1290,0.35,0.36,0.34
,,,,,,,,,,,,,,,,,,,
4.81,63.97,3.84,1.71,0.25,21.47,1.84,93.55,2.48,1.25,51.91,22.43,6.25,11.69,24.18,25.6,1360,0.34,0.36,0.35
,,,,,,,,,,,,,,,,,,,
4.8,63.95,3.86,1.7,0.29,21.46,2.04,93.55,2.48,1.24,51.13,22.99,6.19,11.75,24.12,25.64,1290,0.31,0.35,0.35
,,,,,,,,,,,,,,,,,,,
4.77,63.92,3.86,1.68,0.36,21.36,2.04,93.94,2.48,1.24,51.97,22.08,6.11,11.75,23.96,25.6,1280,0.3,0.36,0.35
,,,,,,,,,,,,,,,,,,,
4.95,63.92,3.85,1.68,0.41,21.52,1.94,93.04,2.45,1.29,49.97,24.05,6.6,11.72,24.92,26.16,1290,0.34,0.38,0.35
,,,,,,,,,,,,,,,,,,,
4.92,64.13,3.86,1.65,0.36,20.97,2.12,95.53,2.39,1.27,54.46,19.08,6.51,11.75,24.76,26.02,1300,0.36,0.37,0.34
,,,,,,,,,,,,,,,,,,,
4.81,64.19,3.81,1.69,0.32,21.29,2.04,94.59,2.47,1.26,53.4,20.79,6.3,11.59,24.19,25.58,1300,0.34,0.36,0.33
,,,,,,,,,,,,,,,,,,,
4.91,63.92,3.84,1.7,0.44,21.47,2.52,93.31,2.45,1.28,48.27,25.18,6.51,11.69,24.71,26.07,1240,0.34,0.4,0.34
,,,,,,,,,,,,,,,,,,,
4.94,63.52,3.86,1.69,0.41,21.83,1.26,91.32,2.48,1.28,48.8,25.81,6.56,11.75,24.87,26.17,1380,0.32,0.39,0.35
,,,,,,,,,,,,,,,,,,,
4.83,63.52,3.78,1.69,0.43,21.93,1.32,91.19,2.55,1.28,48.65,26.21,6.4,11.5,24.31,25.68,1320,0.31,0.39,0.34
5.1,63.5,3.96,1.78,0.27,21.47,1.46,92.28,2.37,1.29,49.43,24.31,6.81,12.05,25.68,26.81,1350,0.31,0.38,0.37
,,,,,,,,,,,,,,,,,,,
4.99,63.4,3.93,1.76,0.24,21.26,3.06,93.14,2.38,1.27,44.88,27.13,6.57,11.96,25.11,26.37,1210,0.34,0.37,0.37
,,,,,,,,,,,,,,,,,,,
4.99,63.42,3.89,1.74,0.42,21.72,1.82,91.47,2.45,1.28,46.57,27.18,6.64,11.84,25.12,26.44,1310,0.37,0.39,0.37
5,64.17,3.88,1.66,0.42,20.89,1.86,95.76,2.35,1.29,55.72,17.9,6.69,11.81,25.18,26.37,1360,0.39,0.39,0.35
,,,,,,,,,,,,,,,,,,,
5.14,63.65,3.92,1.7,0.42,20.89,2.1,94.71,2.31,1.31,51.63,20.98,6.99,11.93,25.91,26.91,1300,0.42,0.39,0.36
,,,,,,,,,,,,,,,,,,,
4.88,63.94,3.84,1.69,0.39,20.7,2.52,96.42,2.37,1.27,54.4,18.35,6.43,11.69,24.55,25.92,1240,0.39,0.39,0.36
,,,,,,,,,,,,,,,,,,,
4.89,63.67,3.86,1.69,0.68,20.81,2.24,95.54,2.38,1.27,53.51,19.33,6.43,11.75,24.6,26.29,1260,0.38,0.44,0.35
,,,,,,,,,,,,,,,,,,,
5.26,63.45,3.84,1.66,0.57,21.51,1.82,91.91,2.36,1.37,46.55,26.59,7.44,11.69,26.57,27.2,1270,0.38,0.4,0.37
4.78,64.02,3.86,1.67,0.41,21.32,1.82,94.23,2.47,1.24,53.51,20.8,6.14,11.75,24.02,25.67,1320,0.37,0.37,0.35
,,,,,,,,,,,,,,,,,,,
4.85,64.19,3.84,1.7,0.37,21.18,2.24,94.93,2.44,1.26,53.11,20.7,6.36,11.69,24.4,25.83,1280,0.37,0.38,0.36
,,,,,,,,,,,,,,,,,,,
4.83,63.88,3.81,1.69,0.47,21.23,2.36,94.33,2.46,1.27,51.16,22.31,6.35,11.59,24.3,25.79,1260,0.39,0.4,0.35
,,,,,,,,,,,,,,,,,,,
4.73,64.32,3.77,1.68,0.28,21.32,1.86,94.84,2.51,1.25,55.03,19.65,6.16,11.47,23.78,25.21,1320,0.34,0.37,0.35
,,,,,,,,,,,,,,,,,,,
4.74,64.07,3.77,1.69,0.4,21.15,2.24,95.12,2.49,1.26,53.69,20.17,6.18,11.47,23.84,25.37,1250,0.38,0.39,0.35
,,,,,,,,,,,,,,,,,,,
4.98,64.3,3.87,1.68,0.46,20.71,2.48,96.72,2.34,1.29,55.24,17.74,6.65,11.78,25.07,26.35,1230,0.37,0.37,0.35
,,,,,,,,,,,,,,,,,,,
5.05,64.42,3.86,1.67,0.54,20.27,3.06,98.61,2.27,1.31,56.26,15.72,6.85,11.75,25.45,26.6,1220,0.38,0.39,0.35
,,,,,,,,,,,,,,,,,,,
5.06,64.43,3.89,1.66,0.53,20.3,3.36,98.46,2.27,1.3,54.74,16.95,6.83,11.84,25.49,26.68,1200,0.37,0.4,0.35
,,,,,,,,,,,,,,,,,,,
4.87,64.08,3.9,1.68,0.46,20.53,3.79,97.29,2.34,1.25,51.08,20.37,6.31,11.87,24.48,26.09,1210,0.36,0.37,0.36
,,,,,,,,,,,,,,,,,,,
4.95,63.78,3.8,1.74,0.37,21.26,2.52,93.88,2.43,1.3,49.08,23.97,6.69,11.56,24.94,26.07,1260,0.36,0.39,0.35
,,,,,,,,,,,,,,,,,,,
4.89,64.46,3.87,1.66,0.52,20.61,3.22,97.53,2.35,1.26,54.25,18.21,6.41,11.78,24.6,26.12,1220,0.36,0.38,0.34
,,,,,,,,,,,,,,,,,,,
