Al2O3,CaO,Fe2O3,MgO,SO3,SiO2,F.CaO,LSF,SM,A/F,C3S,C2S,C3A,C4AF,2C3A+C4AF,LIQUID %,LT.WT Gm/Ltr,K2O,Na2O,TiO2
4.74,64.83,3.66,1.58,0.5,22.3,1.52,91.95,2.65,1.3,51.13,25.4,6.37,11.14,23.87,25.12,1290,0.33,0.37,0.35
4.84,65.76,3.63,1.56,0.37,21.74,2.89,95.25,2.57,1.33,52.97,22.41,6.68,11.05,24.41,25.19,1310,0.36,0.38,0.33
,,,,,,,,,,,,,,,,,,,
4.88,65.63,3.69,1.59,0.34,21.96,2.66,94.1,2.56,1.32,51.35,24.26,6.69,11.23,24.61,25.44,1270,0.28,0.34,0.35
,,,,,,,,,,,,,,,,,,,
4.93,65.22,3.66,1.59,0.29,22.28,1.57,92.28,2.59,1.35,51.39,25.15,6.87,11.14,24.88,25.48,1290,0.31,0.34,0.35
,,,,,,,,,,,,,,,,,,,
4.82,64.95,3.61,1.61,0.22,22.56,1.72,91.1,2.68,1.34,48.37,28.23,6.66,10.99,24.31,24.99,1260,0.29,0.32,0.35
,,,,,,,,,,,,,,,,,,,
4.85,64.6,3.68,1.62,0.31,22.68,1.48,90.08,2.66,1.32,46.7,29.83,6.63,11.2,24.45,25.33,1280,0.33,0.34,0.35
4.81,64.58,3.62,1.59,0.47,22.74,1.12,89.95,2.7,1.33,47.99,29.04,6.62,11.02,24.26,25.21,1290,0.27,0.36,0.35
,,,,,,,,,,,,,,,,,,,
4.85,64.61,3.66,1.62,0.48,22.39,1.68,91.14,2.63,1.33,48.16,27.9,6.66,11.14,24.46,25.46,1240,0.36,0.35,0.35
,,,,,,,,,,,,,,,,,,,
4.61,65.15,3.52,1.57,0.47,22.24,1.82,92.95,2.74,1.31,52.74,24.02,6.26,10.71,23.23,24.38,1270,0.34,0.37,0.33
,,,,,,,,,,,,,,,,,,,
4.92,65.04,3.63,1.58,0.29,22.86,1.12,89.99,2.67,1.36,48.19,29.22,6.9,11.05,24.84,25.37,1320,0.3,0.34,0.35
,,,,,,,,,,,,,,,,,,,
4.67,65.19,3.52,1.56,0.33,22.62,1.26,91.52,2.76,1.33,51.9,25.75,6.42,10.71,23.55,24.41,1340,0.31,0.35,0.34
,,,,,,,,,,,,,,,,,,,
4.85,64.74,3.66,1.56,0.27,22.58,1.12,90.64,2.65,1.33,49.53,27.42,6.66,11.14,24.46,25.19,1350,0.31,0.34,0.34
,,,,,,,,,,,,,,,,,,,
4.71,65.09,3.54,1.57,0.61,22.24,1.62,92.69,2.7,1.33,52.61,24.11,6.49,10.77,23.76,24.86,1270,0.32,0.37,0.34
,,,,,,,,,,,,,,,,,,,
4.79,64.57,3.57,1.59,0.52,22.45,1.18,91.04,2.69,1.34,50.11,26.6,6.65,10.86,24.17,25.09,1200,0.31,0.35,0.34
,,,,,,,,,,,,,,,,,,,
4.71,64.7,3.53,1.56,0.51,22.26,1.51,92.07,2.7,1.33,51.34,25.13,6.51,10.74,23.76,24.73,1260,0.31,0.35,0.34
,,,,,,,,,,,,,,,,,,,
4.83,65.01,3.5,1.57,0.36,22.64,1.23,90.97,2.72,1.38,50.09,27.17,6.88,10.65,24.41,24.88,1290,0.34,0.38,0.33
,,,,,,,,,,,,,,,,,,,
4.92,64.75,3.57,1.6,0.3,22.79,1.18,89.88,2.68,1.38,47.39,29.63,7,10.86,24.86,25.27,1320,0.29,0.36,0.33
,,,,,,,,,,,,,,,,,,,
4.86,64.61,3.63,1.6,0.37,22.68,1.23,90.12,2.67,1.34,47.77,29.03,6.74,11.05,24.52,25.29,1280,0.31,0.36,0.34
,,,,,,,,,,,,,,,,,,,
4.9,65.12,3.61,1.64,0.24,22.39,1.64,91.82,2.63,1.36,50.14,26.41,6.88,10.99,24.74,25.28,1260,0.33,0.36,0.34
,,,,,,,,,,,,,,,,,,,
5.03,64.54,3.67,1.62,0.38,22.62,1.18,89.94,2.6,1.37,46.94,29.48,7.12,11.17,25.41,25.91,1280,0.32,0.41,0.33
,,,,,,,,,,,,,,,,,,,
4.99,64.48,3.69,1.62,0.41,22.47,1.12,90.43,2.59,1.35,48.32,28.01,6.98,11.23,25.19,25.87,1250,0.33,0.41,0.33
,,,,,,,,,,,,,,,,,,,
4.86,65.16,3.6,1.56,0.47,21.67,2.66,94.64,2.56,1.35,51.9,23.01,6.79,10.95,24.53,25.29,1240,0.33,0.43,0.32
,,,,,,,,,,,,,,,,,,,
