Al2O3,CaO,Fe2O3,MgO,SO3,SiO2,F.CaO,LSF,SM,A/F,C3S,C2S,C3A,C4AF,2C3A+C4AF,LIQUID %,LT.WT Gm/Ltr,K2O,Na2O,TiO2
,,,,,,,,,,,,,,,,,,,
5.38,63.75,3.83,1.75,0.36,21.84,1.62,90.94,2.37,1.4,45.28,28.49,7.78,11.65,27.21,27.41,1300,0.28,0.37,0.38
,,,,,,,,,,,,,,,,,,,
5.1,63.42,3.78,1.83,0.36,22.32,1.79,89.23,2.51,1.35,41.55,32.68,7.12,11.5,25.74,26.55,1320,0.28,0.36,0.38
,,,,,,,,,,,,,,,,,,,
5.18,63.29,3.83,1.83,0.38,22.24,1.96,89.17,2.47,1.35,40.33,33.38,7.25,11.65,26.15,26.92,1280,0.33,0.4,0.37
,,,,,,,,,,,,,,,,,,,
5.07,63.41,3.84,1.85,0.34,22.1,1.62,89.99,2.48,1.32,43.99,30.21,6.94,11.69,25.56,26.59,1280,0.31,0.39,0.38
,,,,,,,,,,,,,,,,,,,
5.04,63.61,3.82,1.86,0.31,22.2,2.24,89.98,2.51,1.32,41.75,32.19,6.89,11.62,25.41,26.44,1250,0.33,0.39,0.37
5.09,63.55,3.83,1.85,0.29,22.17,1.73,89.92,2.49,1.33,43.46,30.81,7.01,11.65,25.67,26.58,1310,0.3,0.39,0.38
,,,,,,,,,,,,,,,,,,,
5.14,63.99,3.78,1.82,0.28,21.42,2.32,93.28,2.4,1.36,48.29,25.02,7.23,11.5,25.95,26.58,1300,0.3,0.37,0.37
,,,,,,,,,,,,,,,,,,,
5.14,63.89,3.84,1.88,0.36,21.68,2.64,92.1,2.41,1.34,44.52,28.61,7.12,11.69,25.93,26.85,1240,0.29,0.38,0.37
,,,,,,,,,,,,,,,,,,,
5.12,63.99,3.81,1.88,0.36,21.7,2.86,92.23,2.43,1.34,44.05,29.02,7.12,11.59,25.84,26.73,1200,0.3,0.39,0.37
,,,,,,,,,,,,,,,,,,,
5.12,63.69,3.82,1.88,0.37,21.66,3.06,91.94,2.42,1.34,42.31,30.22,7.1,11.62,25.83,26.76,1200,0.29,0.38,0.37
,,,,,,,,,,,,,,,,,,,
5.22,63.06,3.8,1.87,0.52,21.97,1.82,89.77,2.44,1.37,41.79,31.5,7.4,11.56,26.37,27.15,1200,0.33,0.4,0.39
,,,,,,,,,,,,,,,,,,,
5.13,63.24,3.79,1.84,0.35,21.73,1.96,91.04,2.44,1.35,44.4,28.85,7.18,11.53,25.9,26.66,1240,0.32,0.39,0.38
5.24,63.43,3.84,1.76,0.32,22.19,1.4,89.44,2.44,1.36,43.14,31.11,7.39,11.69,26.46,26.99,1330,0.32,0.38,0.38
,,,,,,,,,,,,,,,,,,,
5.24,63.56,3.95,1.79,0.36,21.95,1.96,90.39,2.39,1.33,43.06,30.49,7.2,12.02,26.43,27.3,1270,0.34,0.38,0.38
,,,,,,,,,,,,,,,,,,,
5.06,63.56,3.98,1.71,0.39,21.78,1.68,91.27,2.41,1.27,46.66,27.29,6.67,12.11,25.46,26.78,1290,0.3,0.36,0.38
,,,,,,,,,,,,,,,,,,,
5.15,64.5,3.98,1.73,0.58,21.15,2.8,94.87,2.32,1.29,50.11,22.88,6.91,12.11,25.94,27.26,1230,0.3,0.35,0.37
,,,,,,,,,,,,,,,,,,,
5.23,64.43,3.94,1.75,0.37,21.42,1.96,93.63,2.34,1.33,50.71,23.2,7.19,11.99,26.38,27.22,1290,0.29,0.36,0.37
,,,,,,,,,,,,,,,,,,,
5.19,63.85,3.97,1.74,0.35,21.98,1.68,90.76,2.4,1.31,45.46,28.76,7.04,12.08,26.15,27.13,1310,0.29,0.34,0.37
,,,,,,,,,,,,,,,,,,,
5.12,63.55,3.94,1.72,0.29,22.43,1.4,88.87,2.48,1.3,42.47,32.31,6.9,11.99,25.79,26.78,1300,0.3,0.34,0.37
,,,,,,,,,,,,,,,,,,,
5.18,64.08,3.94,1.72,0.34,21.78,1.82,91.86,2.39,1.31,47.46,26.68,7.06,11.99,26.11,27.01,1280,0.3,0.32,0.37
,,,,,,,,,,,,,,,,,,,
5.15,64.35,3.9,1.69,0.42,21.51,2.68,93.34,2.38,1.32,47.36,25.98,7.05,11.87,25.97,26.88,1200,0.31,0.35,0.36
5.27,63.27,3.92,1.73,0.53,21.98,1.4,89.85,2.39,1.34,43.77,30.04,7.33,11.93,26.59,27.43,1400,0.32,0.37,0.38
,,,,,,,,,,,,,,,,,,,
5.13,63.93,3.88,1.67,0.44,21.52,2.32,92.74,2.39,1.32,47.21,26.12,7.03,11.81,25.87,26.78,1250,0.29,0.33,0.38
,,,,,,,,,,,,,,,,,,,
5.05,64.07,3.88,1.81,0.38,21.48,2.24,93.23,2.41,1.3,48.94,24.7,6.82,11.81,25.44,26.62,1250,0.3,0.33,0.37
,,,,,,,,,,,,,,,,,,,
4.95,63.94,3.85,1.64,0.26,22.03,2.24,91.18,2.5,1.29,44.95,29.29,6.6,11.72,24.92,25.97,1230,0.31,0.3,0.37
,,,,,,,,,,,,,,,,,,,
5.02,64.22,3.87,1.67,0.2,22.04,2.64,91.41,2.48,1.3,43.89,30.12,6.75,11.78,25.29,26.19,1230,0.31,0.3,0.37
4.94,63.65,3.94,1.64,0.46,21.72,2.41,91.84,2.45,1.25,45.37,28.08,6.42,11.99,24.84,26.34,1240,0.3,0.32,0.36
,,,,,,,,,,,,,,,,,,,
4.97,64.36,3.85,1.64,0.42,21.33,2.68,94.38,2.42,1.29,50.05,23.43,6.66,11.72,25.03,26.19,1260,0.3,0.31,0.36
,,,,,,,,,,,,,,,,,,,
4.89,64.13,3.86,1.64,0.38,21.56,2.4,93.29,2.46,1.27,49.03,24.86,6.43,11.75,24.6,25.94,1250,0.31,0.3,0.36
,,,,,,,,,,,,,,,,,,,
4.88,64.21,3.87,1.64,0.39,22.1,2.12,91.4,2.53,1.26,46.45,28.36,6.38,11.78,24.54,25.94,1250,0.3,0.31,0.37
,,,,,,,,,,,,,,,,,,,
4.93,63.85,3.86,1.64,0.41,22.16,1.9,90.6,2.52,1.28,45.1,29.55,6.53,11.75,24.81,26.09,1290,0.3,0.32,0.37
,,,,,,,,,,,,,,,,,,,
4.98,64,3.9,1.65,0.46,22.13,1.74,90.81,2.49,1.28,46.2,28.64,6.6,11.87,25.06,26.38,1280,0.3,0.32,0.38
,,,,,,,,,,,,,,,,,,,
4.85,64.27,3.84,1.65,0.39,21.81,1.68,92.63,2.51,1.26,50.93,24.15,6.36,11.69,24.4,25.8,1300,0.31,0.31,0.37
,,,,,,,,,,,,,,,,,,,
4.98,63.88,3.9,1.66,0.41,21.82,1.4,91.77,2.46,1.28,49.45,25.3,6.6,11.87,25.06,26.34,1310,0.32,0.31,0.38
,,,,,,,,,,,,,,,,,,,
5.08,64.61,3.9,1.66,0.29,21.58,1.96,93.56,2.4,1.3,51.29,23.22,6.86,11.87,25.59,26.52,1290,0.28,0.29,0.36
,,,,,,,,,,,,,,,,,,,
4.96,64.52,3.87,1.64,0.61,21.28,2.68,94.81,2.41,1.28,51.12,22.48,6.6,11.78,24.97,26.4,1240,0.29,0.31,0.36
,,,,,,,,,,,,,,,,,,,
4.99,64.46,3.9,1.64,0.49,21.61,1.96,93.38,2.43,1.28,51.06,23.48,6.62,11.87,25.12,26.43,1290,0.29,0.32,0.37
4.99,64.24,3.89,1.66,0.32,21.88,1.74,92.06,2.46,1.28,49.02,25.79,6.64,11.84,25.12,26.26,1290,0.3,0.32,0.37
,,,,,,,,,,,,,,,,,,,
4.99,64.35,3.86,1.66,0.36,21.51,2.24,93.63,2.43,1.29,50.29,23.77,6.69,11.75,25.13,26.23,1270,0.29,0.32,0.36
,,,,,,,,,,,,,,,,,,,
5,64.34,3.89,1.65,0.31,21.17,3.36,94.89,2.38,1.29,48.16,24.4,6.67,11.84,25.17,26.27,1150,0.3,0.3,0.37
,,,,,,,,,,,,,,,,,,,
5.03,64.43,3.92,1.66,0.42,21.76,2.52,92.69,2.43,1.28,47.22,26.8,6.7,11.93,25.32,26.54,1220,0.29,0.3,0.36
,,,,,,,,,,,,,,,,,,,
4.93,64.18,3.89,1.66,0.28,21.5,2.24,93.5,2.44,1.27,50.03,23.94,6.48,11.84,24.8,26.04,1250,0.3,0.3,0.37
,,,,,,,,,,,,,,,,,,,
5.01,64.68,3.9,1.62,0.45,21.34,1.96,94.7,2.4,1.28,53.87,20.58,6.68,11.87,25.22,26.43,1300,0.29,0.31,0.36
,,,,,,,,,,,,,,,,,,,
5.11,64.41,3.93,1.63,0.53,21.46,1.82,93.65,2.37,1.3,51.72,22.55,6.89,11.96,25.74,26.88,1300,0.29,0.34,0.36
,,,,,,,,,,,,,,,,,,,
5.26,64.45,3.94,1.64,0.3,21.86,1.68,91.97,2.38,1.34,48.39,26.21,7.27,11.99,26.53,27.13,1320,0.28,0.3,0.37
,,,,,,,,,,,,,,,,,,,
5.13,64.1,3.91,1.64,0.25,22.19,1.88,90.5,2.45,1.31,44.55,30.05,6.98,11.9,25.86,26.63,1310,0.28,0.3,0.37
,,,,,,,,,,,,,,,,,,,
5.07,64.16,3.93,1.65,0.2,22.16,1.9,90.77,2.46,1.29,45.32,29.38,6.79,11.96,25.53,26.45,1300,0.28,0.28,0.37
,,,,,,,,,,,,,,,,,,,
4.88,64.16,3.83,1.64,0.34,22.13,1.73,91.25,2.54,1.27,47.66,27.53,6.45,11.65,24.56,25.8,1320,0.28,0.29,0.36
,,,,,,,,,,,,,,,,,,,
4.85,64.27,3.9,1.65,0.45,21.98,1.96,91.95,2.51,1.24,48.41,26.54,6.25,11.87,24.38,25.99,1310,0.29,0.3,0.36
4.85,64.15,3.9,1.66,0.46,22.13,2.24,91.23,2.53,1.24,45.64,29.05,6.25,11.87,24.38,26.01,1280,0.31,0.31,0.37
,,,,,,,,,,,,,,,,,,,
5.01,64.06,3.93,1.61,0.25,21.84,2.4,91.88,2.44,1.27,45.71,28.17,6.63,11.96,25.21,26.29,1270,0.28,0.3,0.37
,,,,,,,,,,,,,,,,,,,
4.76,64.4,3.85,1.58,0.4,21.01,2.8,96.06,2.44,1.24,53.57,19.86,6.1,11.72,23.92,25.49,1220,0.29,0.29,0.36
,,,,,,,,,,,,,,,,,,,
4.9,64.41,3.87,1.66,0.34,21.63,2.52,93.4,2.47,1.27,49.07,25.04,6.44,11.78,24.65,25.97,1200,0.3,0.31,0.36
,,,,,,,,,,,,,,,,,,,
4.83,64.25,3.87,1.63,0.38,21.99,1.68,91.94,2.53,1.25,49.57,25.69,6.25,11.78,24.28,25.77,1330,0.28,0.3,0.36
,,,,,,,,,,,,,,,,,,,
4.91,64.23,3.92,1.64,0.25,21.83,1.82,92.33,2.47,1.25,49.53,25.26,6.38,11.93,24.69,26,1290,0.32,0.3,0.36
,,,,,,,,,,,,,,,,,,,
4.99,65,3.89,1.65,0.25,21.16,2.46,95.92,2.38,1.28,54.66,19.48,6.64,11.84,25.12,26.18,1290,0.26,0.28,0.35
,,,,,,,,,,,,,,,,,,,
5.01,64.63,3.89,1.63,0.33,21.68,1.94,93.34,2.44,1.29,51.18,23.59,6.69,11.84,25.23,26.3,1300,0.29,0.29,0.36
,,,,,,,,,,,,,,,,,,,
4.99,64.1,3.89,1.63,0.39,22.05,1.98,91.24,2.48,1.28,46.18,28.42,6.64,11.84,25.12,26.3,1280,0.28,0.3,0.37
,,,,,,,,,,,,,,,,,,,
5.01,64.24,3.9,1.63,0.17,22.24,1.64,90.71,2.5,1.28,46.54,28.69,6.68,11.87,25.22,26.16,1330,0.29,0.29,0.37
,,,,,,,,,,,,,,,,,,,
5.09,63.7,3.89,1.63,0.34,22.45,1.4,89.1,2.5,1.31,43.2,31.81,6.91,11.84,25.65,26.54,1320,0.29,0.3,0.37
,,,,,,,,,,,,,,,,,,,
5.01,63.75,3.98,1.62,0.32,22.14,1.73,90.31,2.46,1.26,44.83,29.7,6.54,12.11,25.2,26.48,1300,0.28,0.29,0.37
4.93,64.3,3.86,1.64,0.26,21.7,2.68,92.94,2.47,1.28,47.25,26.61,6.53,11.75,24.81,25.94,1260,0.28,0.28,0.36
,,,,,,,,,,,,,,,,,,,
4.87,64.69,3.81,1.59,0.47,21.32,2.88,95.11,2.46,1.28,51.39,22.4,6.46,11.59,24.51,25.81,1290,0.27,0.29,0.35
,,,,,,,,,,,,,,,,,,,
4.95,64.9,3.81,1.62,0.42,21.13,2.8,96.03,2.41,1.3,53.48,20.28,6.67,11.59,24.94,26.02,1270,0.27,0.3,0.35
,,,,,,,,,,,,,,,,,,,
4.93,64.37,3.82,1.65,0.49,21.55,2.74,93.64,2.46,1.29,48.49,25.24,6.6,11.62,24.83,26.09,1120,0.32,0.32,0.36
,,,,,,,,,,,,,,,,,,,
4.85,64.17,3.76,1.61,0.34,22.02,1.96,91.78,2.56,1.29,47.9,27.04,6.49,11.44,24.42,25.53,1250,0.29,0.29,0.36
,,,,,,,,,,,,,,,,,,,
4.88,64.53,3.78,1.6,0.5,21.65,1.82,93.61,2.5,1.29,52.52,22.49,6.54,11.5,24.58,25.81,1290,0.3,0.3,0.35
,,,,,,,,,,,,,,,,,,,
4.97,64.59,3.82,1.6,0.36,21.39,3.06,94.51,2.43,1.3,49.03,24.38,6.71,11.62,25.04,26.03,1240,0.28,0.29,0.35
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
5.26,64.05,3.86,1.62,0.49,21.82,2.68,91.61,2.39,1.36,43.11,30.08,7.41,11.75,26.56,27.12,1240,0.29,0.32,0.38
,,,,,,,,,,,,,,,,,,,
5.31,64.95,4.05,1.63,0.28,20.97,3.36,95.91,2.24,1.31,49.85,22.55,7.22,12.32,26.76,27.48,1240,0.25,0.31,0.35
,,,,,,,,,,,,,,,,,,,
5.28,64.94,4.05,1.63,0.42,20.82,3.19,96.54,2.23,1.3,51.85,20.62,7.14,12.32,26.6,27.54,1240,0.27,0.3,0.36
,,,,,,,,,,,,,,,,,,,
5.17,64.6,4.03,1.6,0.34,21.71,2.24,92.8,2.36,1.28,48.33,25.82,6.88,12.26,26.03,27.06,1300,0.26,0.3,0.36
