Al2O3,CaO,Fe2O3,MgO,SO3,SiO2,F.CaO,LSF,SM,A/F,C3S,C2S,C3A,C4AF,2C3A+C4AF,LIQUID %,LT.WT Gm/Ltr,K2O,Na2O,TiO2
4.45,65.18,5.71,1.47,0.33,21.15,1.96,95.47,2.08,0.78,58.53,16.53,2.13,17.38,21.64,28.49,1310,0.4,0.43,0.3
4.5,64.98,5.5,1.48,0.21,21.88,1.48,92.51,2.19,0.82,54.08,21.97,2.62,16.74,21.97,28.07,1340,0.4,0.4,0.32
,,,,,,,,,,,,,,,,,,,
4.52,66.28,5.62,1.46,0.33,20.78,1.9,98.54,2.05,0.8,65.72,10.04,2.47,17.1,22.04,28.49,1360,0.36,0.42,0.3
,,,,,,,,,,,,,,,,,,,
4.49,65.8,5.51,1.47,0.43,20.91,2.13,97.46,2.09,0.81,62.2,13.07,2.58,16.77,21.92,28.27,1370,0.37,0.42,0.3
,,,,,,,,,,,,,,,,,,,
4.41,65.09,5.66,1.44,0.44,21.28,1.85,94.95,2.11,0.78,57.96,17.33,2.11,17.22,21.44,28.34,1380,0.38,0.44,0.3
,,,,,,,,,,,,,,,,,,,
4.4,64.96,6.01,1.45,0.33,21.38,1.46,94.08,2.05,0.73,57.82,17.72,1.49,18.29,21.27,28.98,1390,0.36,0.43,0.31
,,,,,,,,,,,,,,,,,,,
4.42,65.22,5.84,1.44,0.35,21.77,1.24,93.1,2.12,0.76,56.92,19.52,1.83,17.77,21.43,28.68,1360,0.34,0.41,0.31
,,,,,,,,,,,,,,,,,,,
4.45,65.21,6.08,1.48,0.36,21.2,1.46,94.99,2.01,0.73,59.77,15.73,1.51,18.5,21.51,29.34,1370,0.37,0.41,0.31
,,,,,,,,,,,,,,,,,,,
4.51,65.06,5.98,1.51,0.4,21.12,2.46,95.07,2.01,0.75,55.44,18.77,1.83,18.2,21.86,29.37,1240,0.37,0.42,0.31
,,,,,,,,,,,,,,,,,,,
4.67,64.68,4.81,1.59,0.29,21.91,2.04,92.3,2.31,0.97,50.2,24.99,4.24,14.64,23.11,27.24,1240,0.34,0.35,0.32
,,,,,,,,,,,,,,,,,,,
4.42,66.55,3.88,1.54,0.24,22.06,3.36,95.63,2.66,1.14,54.3,22.32,5.15,11.81,22.1,24.36,1220,0.3,0.33,0.3
,,,,,,,,,,,,,,,,,,,
4.5,64.81,4.09,1.53,0.35,22.66,2.24,90.64,2.64,1.1,46.38,30.02,5,12.45,22.46,25.15,1220,0.36,0.36,0.31
,,,,,,,,,,,,,,,,,,,
4.61,64.67,4.05,1.52,0.36,22.96,1.68,89.26,2.65,1.14,45.13,31.82,5.36,12.32,23.05,25.39,1260,0.31,0.36,0.32
,,,,,,,,,,,,,,,,,,,
4.38,65.25,3.92,1.51,0.34,22.74,2.24,91.29,2.74,1.12,48.61,28.56,4.97,11.93,21.88,24.4,1250,0.32,0.35,0.3
,,,,,,,,,,,,,,,,,,,
4.5,64.76,3.95,1.51,0.48,22.82,1.96,90.12,2.7,1.14,46.3,30.54,5.24,12.02,22.5,24.96,1240,0.36,0.38,0.31
,,,,,,,,,,,,,,,,,,,
4.52,64.97,3.98,1.51,0.38,22.95,1.49,89.9,2.7,1.14,47.9,29.7,5.24,12.11,22.6,24.98,1310,0.31,0.34,0.32
,,,,,,,,,,,,,,,,,,,
4.41,65.45,3.85,1.51,0.4,22.82,1.62,91.3,2.76,1.15,51.24,26.81,5.17,11.72,22.06,24.39,1280,0.34,0.35,0.31
,,,,,,,,,,,,,,,,,,,
4.36,66.22,3.63,1.51,0.46,22.29,2.38,94.6,2.79,1.2,55.96,21.73,5.41,11.05,21.87,23.82,1240,0.34,0.37,0.31
,,,,,,,,,,,,,,,,,,,
4.51,66.81,3.76,1.49,0.21,21.91,2.47,96.54,2.65,1.2,59.69,17.83,5.59,11.44,22.62,24.28,1250,0.29,0.34,0.31
,,,,,,,,,,,,,,,,,,,
4.69,64.55,3.71,1.5,0.53,23.05,2.24,88.94,2.74,1.26,41.63,34.72,6.15,11.29,23.59,25.03,1280,0.35,0.39,0.32
,,,,,,,,,,,,,,,,,,,
4.59,65.09,3.58,1.51,0.5,22.9,1.96,90.46,2.8,1.28,46.96,30.27,6.11,10.89,23.11,24.43,1290,0.35,0.38,0.32
,,,,,,,,,,,,,,,,,,,
4.51,65.09,3.47,1.53,0.41,23.27,1.88,89.38,2.92,1.3,45.17,32.68,6.08,10.56,22.72,23.88,1290,0.32,0.35,0.31
,,,,,,,,,,,,,,,,,,,
4.41,65.67,3.35,1.55,0.4,22.4,2.74,93.56,2.89,1.32,51.49,25.42,6.02,10.19,22.23,23.33,1200,0.34,0.34,0.3
,,,,,,,,,,,,,,,,,,,
4.69,65.03,3.47,1.54,0.23,22.94,2.52,90.17,2.81,1.35,43.62,32.9,6.56,10.56,23.67,24.24,1180,0.31,0.34,0.32
,,,,,,,,,,,,,,,,,,,
4.4,65.63,3.34,1.53,0.37,23.04,2.24,91.2,2.98,1.32,48.58,29.45,6.01,10.16,22.18,23.23,1220,0.3,0.33,0.31
,,,,,,,,,,,,,,,,,,,
